"id";"name";"affiliation";"citedby";"pub_title";"pub_year";"citations";"pub_author";"eprint"
40;"László Oláh";"Debreceni Egyetem, Neurológiai Tanszék";2661;"Changes in the phosphorylation of initiation factor eIF‐2α, elongation factor eEF‐2 and p70 S6 kinase after transient focal cerebral ischaemia in mice";"2001";121;"Sonja Althausen and Thorsten Mengesdorf and Günter Mies and Laszlo Oláh and Angus C Nairn and Christopher G Proud and Wulf Paschen";"https://onlinelibrary.wiley.com/doi/full/10.1046/j.1471-4159.2001.00462.x"
41;"Kazuhiro Iida";"Professor, Spatial Hearing Laboratory, Chiba Institute of Technology, Japan";1005;"Median plane localization using a parametric model of the head-related transfer function based on spectral cues";"2007";148;"Kazuhiro Iida and Motokuni Itoh and Atsue Itagaki and Masayuki Morimoto";"http://www.iida-lab.it-chiba.ac.jp/literature/Research.Papers/14.Median.plane.localization.using~.AA-2007.pdf"
42;"Michele De Bastiani";"Istituto Italiano di Tecnologia";2566;"Charge selective contacts, mobile ions and anomalous hysteresis in organic–inorganic perovskite solar cells";"1970";267;"Ye Zhang and Mingzhen Liu and Giles E Eperon and Tomas C Leijtens and David McMeekin and Michael Saliba and Wei Zhang and Michele de Bastiani and Annamaria Petrozza and Laura M Herz and Michael B Johnston and Hong Lin and Henry J Snaith";"https://pubs.rsc.org/en/content/getauthorversionpdf/c4mh00238e"
43;"Amir Hosein Faghihi Kashani";"iran university of medical sciences";116;"Predicting response to HBV vaccination in people with positive anti-HBc but negative HBsAg and anti-HBs";"2008";22;"Ali Kabir and Seyed-Moayed Alavian and Amir Hossein Faghihi Kashani and Maryam Keshvari";"https://www.tandfonline.com/doi/pdf/10.4161/hv.4.5.6010"
44;"Ugur Yaramanci";"Berlin University of Technology em.";2556;"QT inversion—Comprehensive use of the complete surface NMR data set";"2010";113;"Mike Mueller-Petke and Ugur Yaramanci";"https://www.researchgate.net/profile/Mike_Mueller-Petke/publication/242013256_QT_inversion-Comprehensive_use_of_the_complete_SNMR_dataset/links/00b49521b044fb5c4c000000/QT-inversion-Comprehensive-use-of-the-complete-SNMR-dataset.pdf"
45;"Jennifer Steeves";"York MRI Facility, Centre for Vision Research, York University";1011;"Vision with one eye: a review of visual function following unilateral enucleation";"2008";61;"Jennifer KE Steeves and Esther G Gonzalez and Martin J Steinbach";""
46;"Xiaoyi Ma";"University of Pennsylvania";542;"TableTrans, MultiTrans, InterTrans and TreeTrans: Diverse tools built on the annotation graph toolkit";"2002";38;"Steven Bird and Kazuaki Maeda and Xiaoyi Ma and Haejoong Lee and Beth Randall and Salim Zayat";""
47;"Krasimir Tonchev";"Technical University of Sofia";97;"Blurred image regions detection using wavelet-based histograms and SVM";"2011";10;"V Kanchev and K Tonchev and Ognian Boumbarov";"http://www.academia.edu/download/32739166/Blurred_Image_Regions_Detection_using_Wavelet-based_Histograms_and_SVM_.pdf"
49;"Annelyn Torres-Reveron";"University of Texas at Rio Grande Valley-School of Medicine";600;"Ultrastructural localization of extranuclear progestin receptors in the rat hippocampal formation";"2008";54;"Elizabeth M Waters and Annelyn Torres‐Reveron and Bruce S McEwen and Teresa A Milner";"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2577145/"
50;"Nicolas Le Poul";"CNRS Researcher, UMR 6521, University of Brest, France";720;"Mimicking the protein access channel to a metal center: effect of a funnel complex on dissociative versus associative copper redox chemistry";"2009";44;"Nicolas Le Poul and Bénédicte Douziech and Joceline Zeitouny and Grégory Thiabaud and Hélene Colas and Françoise Conan and Nathalie Cosquer and Ivan Jabin and Corinne Lagrost and Philippe Hapiot and Olivia Reinaud and Yves Le Mest";"http://www.academia.edu/download/39154469/552403d20cf2b123c5171a2c.pdf"
